primary_type,day-of-week,community_area
ARSON,Fri,24
ARSON,Fri,30
ARSON,Fri,32
ARSON,Fri,32
ARSON,Fri,37
ARSON,Fri,38
ARSON,Fri,41
ARSON,Fri,44
ARSON,Fri,46
ARSON,Fri,56
ARSON,Fri,69
ARSON,Fri,75
ARSON,Fri,24
ARSON,Fri,29
ARSON,Fri,25
ARSON,Fri,40
ARSON,Fri,43
ARSON,Fri,61
ARSON,Fri,43
ARSON,Fri,63
ARSON,Fri,32
ARSON,Fri,75
ARSON,Fri,73
ARSON,Fri,8
ARSON,Fri,8
ARSON,Fri,28
ARSON,Fri,53
ARSON,Fri,58
ARSON,Fri,76
ARSON,Fri,15
ARSON,Fri,25
ARSON,Fri,44
ARSON,Fri,27
ARSON,Fri,56
ARSON,Fri,29
ARSON,Fri,67
ARSON,Fri,3
ARSON,Fri,3
ARSON,Fri,4
ARSON,Fri,6
ARSON,Fri,7
ARSON,Fri,8
ARSON,Fri,8
ARSON,Fri,10
ARSON,Fri,11
ARSON,Fri,19
ARSON,Fri,20
ARSON,Fri,20
ARSON,Fri,22
ARSON,Fri,23
ARSON,Fri,23
ARSON,Fri,25
ARSON,Fri,25
ARSON,Fri,26
ARSON,Fri,26
ARSON,Fri,28
ARSON,Fri,29
ARSON,Fri,29
ARSON,Fri,30
ARSON,Fri,30
ARSON,Fri,32
ARSON,Fri,32
ARSON,Fri,32
ARSON,Fri,38
ARSON,Fri,39
ARSON,Fri,41
ARSON,Fri,43
ARSON,Fri,44
ARSON,Fri,46
ARSON,Fri,48
ARSON,Fri,51
ARSON,Fri,57
ARSON,Fri,61
ARSON,Fri,66
ARSON,Fri,67
ARSON,Fri,67
ARSON,Fri,68
ARSON,Fri,69
ARSON,Fri,70
ARSON,Fri,71
ARSON,Fri,71
ARSON,Fri,71
ARSON,Fri,71
ARSON,Fri,15
ARSON,Fri,19
ARSON,Fri,19
ARSON,Fri,19
ARSON,Fri,25
ARSON,Fri,25
ARSON,Fri,25
ARSON,Fri,27
ARSON,Fri,28
ARSON,Fri,28
ARSON,Fri,28
ARSON,Fri,29
ARSON,Fri,29
ARSON,Fri,29
ARSON,Fri,31
ARSON,Fri,32
ARSON,Fri,41
ARSON,Fri,42
ARSON,Fri,43
ARSON,Fri,50
ARSON,Fri,51
ARSON,Fri,56
ARSON,Fri,62
ARSON,Fri,64
ARSON,Fri,64
ARSON,Fri,66
ARSON,Fri,66
ARSON,Fri,69
ARSON,Fri,71
ARSON,Fri,71
ARSON,Fri,71
ARSON,Fri,75
ARSON,Fri,76
ARSON,Fri,2
ARSON,Fri,6
ARSON,Fri,10
ARSON,Fri,15
ARSON,Fri,29
ARSON,Fri,49
ARSON,Fri,53
ARSON,Fri,71
ARSON,Fri,73
ASSAULT,Fri,6
ASSAULT,Fri,7
ASSAULT,Fri,20
ASSAULT,Fri,23
ASSAULT,Fri,28
ASSAULT,Fri,29
ASSAULT,Fri,32
ASSAULT,Fri,34
ASSAULT,Fri,42
ASSAULT,Fri,43
ASSAULT,Fri,43
ASSAULT,Fri,49
ASSAULT,Fri,49
ASSAULT,Fri,49
ASSAULT,Fri,58
ASSAULT,Fri,67
ASSAULT,Fri,73
ASSAULT,Fri,8
ASSAULT,Fri,10
ASSAULT,Fri,15
ASSAULT,Fri,31
